,index,Cotacao,Cresc.5anos,DY,Div.Brut/Pat.,EV/EBIT,EV/EBITDA,Liq.2meses,Liq.Corr.,Mrg.Ebit,Mrg.Liq.,P/ACL,P/Ativo,P/Cap.Giro,P/EBIT,P/L,P/VP,PSR,Pat.Liq,ROE,ROIC,change,closingPrice,eps,high,lastPrice,lastYearHigh,lastYearLow,low,marketCap,name,pe,priceOpen,shares,volume,volumeAvg,sector,subSector,segment
12,ALPA4,49.62,-0.0258,0.0,0.08,44.23,35.49,84801500.0,2.19,0.1831,0.0653,29.04,6.021,19.77,45.29,118.89,9.49,8.293,3074270000.0,0.0798,0.1834,0.89,49.62,0.42,50.6,50.06,50.6,27.9,49.04,27412215983,Alpargatas SA Preference Shares,118.15,49.6,286051533,733400,1727423,Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados
13,ALPK3,8.55,0.0,0.0,2.54,62.74,10.13,303806.0,0.32,0.0867,-0.3672,-0.89,0.607,-3.32,33.43,-7.88,2.7,2.899,613948000.0,-0.3425,0.0195,-1.17,8.55,-1.15,8.6,8.45,10.5,7.15,8.4,1637365758,Allpark Empreendimentos Prtcpcs Srvcs SA,0.0,8.6,193771106,19200,32913,Bens Industriais,Serviços,Serviços Diversos
14,ALSO3,31.86,0.2834,0.0071,0.3,30.01,18.57,47679000.0,4.32,0.394,0.1785,-6.08,0.779,6.08,28.08,79.11,1.28,11.065,6589880000.0,0.0162,0.032,-2.89,31.86,0.4,31.76,30.94,32.78,21.85,30.75,8215034116,Aliansce Sonae Shopping Centers SA,76.62,31.76,265772778,560300,1692403,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis
15,ALUP11,27.13,0.4907,0.031,1.5,3.99,3.85,26748400.0,1.71,0.5845,0.3584,-0.8,0.338,4.78,2.08,7.32,1.31,1.218,6091770000.0,0.1783,0.1779,-1.18,27.13,3.71,27.18,26.81,28.53,22.54,26.79,7856321813,Alupar Investimento SA Brazilian Units,7.23,27.14,0,151800,802610,Utilidade Pública,Energia Elétrica,Energia Elétrica
16,ALUP3,8.97,0.4907,0.0312,1.5,3.97,3.83,224862.0,1.71,0.5845,0.3584,-0.8,0.335,4.74,2.07,7.26,1.29,1.208,6091770000.0,0.1783,0.1779,-0.78,8.97,3.71,9.1,8.9,10.2,7.55,8.86,7856321813,Alupar Investimento SA,2.4,8.92,596955970,6900,22693,Utilidade Pública,Energia Elétrica,Energia Elétrica
17,ALUP4,9.12,0.4907,0.0307,1.5,4.01,3.87,266279.0,1.71,0.5845,0.3584,-0.81,0.341,4.82,2.1,7.38,1.32,1.229,6091770000.0,0.1783,0.1779,-1.54,9.12,3.71,9.17,8.98,9.68,6.5,8.93,7856321813,Alupar Investimento SA Preference Shares,2.43,9.17,282155299,12400,28086,Utilidade Pública,Energia Elétrica,Energia Elétrica
18,AMAR3,9.8,-0.0708,0.0,1.56,72.56,10.99,66779600.0,1.18,0.0262,-0.1369,-3.78,0.782,10.12,49.45,-6.78,2.71,1.294,945580000.0,-0.4002,0.0204,1.02,9.8,-1.45,10.08,9.9,10.08,4.82,9.52,2593116957,Marisa Lojas SA,0.0,9.8,261666739,8129400,9568600,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados
19,AMBP3,38.5,0.0,0.0024,0.25,28.81,18.51,16259900.0,2.58,0.1755,0.0863,23.9,2.233,8.48,30.16,65.07,3.51,5.294,1239960000.0,0.0539,0.1022,1.51,38.5,0.65,39.49,39.08,39.49,20.67,38.1,4413519546,Ambipar Participacoes e Empreendmnts SA,60.55,38.13,112935588,558200,538786,Utilidade Pública,Água e Saneamento,Água e Saneamento
20,ANIM3,13.15,0.1058,0.0,0.57,22.19,13.56,28767700.0,3.76,0.1667,0.0202,-9.87,1.066,3.89,21.25,178.18,2.07,3.543,2560160000.0,0.0116,0.0673,2.89,13.15,0.14,13.6,13.53,13.6,7.53,13.15,5464344756,Anima Holding SA,96.48,13.15,403868805,1149000,2384673,Consumo Cíclico,Diversos,Serviços Educacionais
21,APER3,50.2,-0.0109,0.0,0.0,0.0,0.0,5343620.0,0.0,0.0,0.0,0.0,1.71,0.0,2197.26,0.0,2.65,0.0,288639000.0,0.0,0.0,1.14,50.2,-0.01,51.17,50.77,63.55,21.77,49.0,772734064,Alper Consultoria e Corretora deSegursSA,0.0,50.2,15232292,26000,88003,Financeiro e Outros,Previdência e Seguros,Corretoras de Seguros
22,ARZZ3,95.93,0.0804,0.0053,0.48,109.67,55.56,53936100.0,1.55,0.0513,0.0306,162.16,3.371,17.71,108.61,182.15,6.97,5.571,1371410000.0,0.0383,0.0466,-0.6,95.93,0.51,96.26,95.35,96.26,45.04,94.61,9499854791,Arezzo Industria E Comercio SA,187.21,95.89,99631414,191700,573646,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados
23,ATMP3,8.44,-0.1878,0.0,2.3,-14.08,5.17,2097040.0,0.48,-0.0363,-0.1668,-0.18,0.127,-0.57,-6.37,-1.39,1.7,0.231,132675000.0,-1.2221,-0.0229,1.07,8.44,-9.15,8.68,8.53,13.99,2.24,8.35,227586216,ATMA Participacoes SA,0.0,8.66,26649442,15200,223900,Bens Industriais,Serviços,Serviços Diversos
24,ATOM3,7.52,0.8517,0.0399,0.0,11.23,11.17,1430410.0,4.12,0.3492,0.355,10.53,4.913,6.61,12.36,12.16,10.14,4.315,15501000.0,0.8341,0.7303,-0.27,7.52,0.62,7.8,7.5,12.53,1.72,7.47,156742350,ATOM Empreendimentos e Participacoes SA,12.2,7.65,20898994,61500,110896,Financeiro e Outros,Outros,Outros
25,AURA33,68.5,0.0,0.0669,0.33,5.69,5.69,19303300.0,1.36,0.3971,0.2716,-15.57,1.497,13.25,6.14,8.97,3.17,2.437,1530100000.0,0.3529,0.4805,1.24,68.5,0.0,69.5,69.35,980.0,45.9,67.54,1237707066,Aura Minerals Bdr,0.0,68.5,72559449,233452,342184,Materiais Básicos,Mineração,Minerais Metálicos
26,AVLL3,24.95,0.0,0.0,2.98,-10.23,-11.77,121351.0,1.31,-0.4661,-1.5088,-0.55,0.25,2.68,-4.61,-1.7,1.72,2.147,324228000.0,-1.0129,-0.0653,-1.12,24.95,-12.17,25.0,24.67,32.98,18.93,24.5,552997541,Alphaville SA,0.0,24.51,22415794,4600,3903,Consumo Cíclico,Construção Civil,Incorporações
27,AZEV3,6.18,-0.5695,0.0,0.0,-26.41,-26.41,1675900.0,1.03,-0.1773,5.4024,-1.46,2.662,149.04,-26.47,0.87,-1.88,4.695,-64924000.0,-2.1689,-0.1154,7.44,6.18,3.89,6.68,6.64,10.32,2.93,6.13,265618969,Azevedo & Travassos SA,1.69,6.3,6600000,80000,254660,Bens Industriais,Construção e Engenharia,Construção Pesada
28,AZEV4,5.26,-0.5695,0.0,0.0,-22.47,-22.47,4877420.0,1.03,-0.1773,5.4024,-1.24,2.265,126.86,-22.53,0.74,-1.6,3.996,-64924000.0,-2.1689,-0.1154,10.08,5.26,3.89,5.79,5.79,6.69,1.57,5.14,265618969,Azevedo & Travassos SA Preference Shares,1.51,5.27,13200000,826200,1173910,Bens Industriais,Construção e Engenharia,Construção Pesada
29,AZUL4,48.29,-0.1298,0.0,-0.46,-17.75,53.08,283989000.0,0.45,-0.2623,-1.5671,-0.61,1.1,-2.94,-13.36,-2.24,-0.99,3.504,-16908800000.0,0.4418,-0.1149,-1.97,48.29,-20.81,48.53,47.34,49.43,19.22,47.14,3175046826,Azul SA,0.0,48.53,333549383,2218400,6935193,Bens Industriais,Transporte,Transporte Aéreo
30,B3SA3,17.07,0.4018,0.0511,0.29,15.72,13.43,823039000.0,1.78,0.6221,0.4462,-21.11,2.264,14.17,17.12,23.86,4.3,10.65,24345800000.0,0.18,0.2008,-1.29,17.07,0.71,17.1,16.85,23.25,15.71,16.8,103223068636,B3 SA Brasil Bolsa Balcao,23.65,17.0,6126000000,17688100,52474996,Financeiro e Outros,Serviços Financeiros Diversos,Serviços Financeiros Diversos
31,BAHI3,81.0,1.4237,0.0,0.28,45.12,13.36,49860.6,0.8,0.014,-0.1798,-0.69,0.326,-5.85,63.52,-4.93,1.1,0.888,177754000.0,-0.2236,0.0063,0.0,81.0,-18.37,0.0,81.0,139.0,67.07,0.0,195944700,Bahema Educacao SA,0.0,0.0,2419070,0,770,Consumo Cíclico,Diversos,Serviços Educacionais
32,BALM3,19.0,0.109,0.0316,0.15,7.81,6.84,25275.9,2.4,0.1316,0.1237,3.35,0.854,2.2,8.56,8.5,1.54,1.127,120924000.0,0.1811,0.1256,10.21,19.0,2.24,23.98,20.94,35.4,11.5,19.01,180332778,Baumer SA,9.36,19.03,4900000,2400,943,Saúde,Equipamentos,Equipamentos
33,BALM4,20.3,0.109,0.033,0.15,8.39,7.35,94629.7,2.4,0.1316,0.1237,3.58,0.912,2.35,9.15,9.09,1.65,1.204,120924000.0,0.1811,0.1256,-6.35,20.3,2.24,20.49,19.01,23.3,9.2,19.0,180332778,Baumer SA Preference Shares,8.5,20.3,4900000,5400,6340,Saúde,Equipamentos,Equipamentos
34,BAUH4,86.9,0.066,0.0078,0.0,44.05,31.49,28237.1,1.15,0.0524,0.1143,123.35,3.155,66.63,46.03,21.11,4.82,2.414,94110000.0,0.2284,0.0991,0.0,86.9,4.12,0.0,86.9,98.93,20.0,0.0,0,Excelsior Alimentos SA Preference Shares,21.11,0.0,2375293,0,300,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
35,BAZA3,40.89,-0.0972,0.0635,0.0,0.0,0.0,104304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59,0.49,0.0,2490170000.0,0.1357,0.0,-0.34,40.89,8.96,40.8,40.75,43.2,32.9,40.75,1208073277,Banco da Amazonia SA,4.55,40.8,29645967,1000,2500,Financeiro e Outros,Intermediários Financeiros,Bancos
36,BBAS3,34.58,-0.0441,0.0584,0.0,0.0,0.0,478072000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.35,0.78,0.0,127589000000.0,0.1057,0.0,-2.23,34.58,4.81,34.72,33.81,40.56,27.02,33.81,96879752705,Banco do Brasil SA,7.03,34.63,2865417020,8404100,14483730,Financeiro e Outros,Intermediários Financeiros,Bancos
37,BBDC3,23.38,-0.0138,0.0238,0.0,0.0,0.0,150932000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,1.58,0.0,144240000000.0,0.1339,0.0,-1.2,23.38,1.93,23.38,23.1,24.57,16.11,23.02,47178747433,Banco Bradesco SA,11.95,23.2,4870579247,3654500,6921790,Financeiro e Outros,Intermediários Financeiros,Bancos
38,BBDC4,27.67,-0.0138,0.0221,0.0,0.0,0.0,1017470000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.92,1.86,0.0,144240000000.0,0.1339,0.0,-1.05,27.67,1.93,27.62,27.38,28.83,17.45,27.26,47178747433,Banco Bradesco SA Preference Shares,14.14,27.5,4848500325,11544800,37380133,Financeiro e Outros,Intermediários Financeiros,Bancos
39,BBRK3,2.11,0.0327,0.0,0.0,-4.51,-7.2,3787030.0,0.75,-0.2862,-1.3245,-1.97,0.862,-9.48,-5.65,-1.27,3.07,1.617,53983000.0,-2.4234,-0.1948,2.84,2.11,-3.57,2.28,2.17,2.9,1.38,2.05,170414011,Brasil Brokers Participacoes SA,0.0,2.11,78531824,4662200,2156176,Financeiro e Outros,Exploração de Imóveis,Intermediação Imobiliária
40,BBSE3,25.47,0.0,0.053,0.0,0.0,0.0,145574000.0,0.0,0.0,0.0,0.0,4.929,0.0,10.37,12.91,7.11,0.0,7164750000.0,0.5506,0.0,-0.27,25.47,1.98,25.56,25.4,30.76,21.96,25.2,50819999694,BB Seguridade Participacoes SA,12.86,25.41,2000000000,2196700,5309686,Financeiro e Outros,Previdência e Seguros,Seguradoras
41,BDLL3,12.65,-0.4698,0.0,-1.47,-6.81,-8.4,68172.7,0.52,-2.3134,-3.5,-0.04,0.03,-0.08,-0.52,-0.34,-0.12,1.204,-166839000.0,0.3527,-0.0684,2.69,12.65,-36.78,13.4,12.99,27.51,6.0,12.7,22828860,Bardella SA Industrias Mecanicas,0.0,13.0,607192,6300,6080,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
42,BDLL4,14.0,-0.4698,0.0,-1.47,-6.86,-8.47,117624.0,0.52,-2.3134,-3.5,-0.04,0.034,-0.09,-0.58,-0.38,-0.13,1.332,-166839000.0,0.3527,-0.0684,5.79,14.0,-36.78,15.2,14.81,17.5,7.77,14.01,22828860,Bardella SA Industrias Mecanicas Preference Shares,0.0,14.01,992808,22200,12050,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
43,BEEF3,9.72,0.2049,0.1059,11.63,5.59,4.8,82485600.0,1.9,0.0912,0.0326,-1.1,0.294,0.91,2.79,7.79,5.27,0.254,1013840000.0,0.6761,0.2058,-0.82,9.72,1.36,9.8,9.64,15.23,8.99,9.61,5298473876,Minerva SA,7.11,9.69,549634220,4504800,7802186,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
44,BEES3,5.35,0.0577,0.0392,0.0,0.0,0.0,242680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.04,0.96,0.0,1764020000.0,0.1191,0.0,0.19,5.35,0.67,5.38,5.36,6.15,4.7,5.33,1753459187,Banestes SA Banco do Estado Esprt Santo,8.06,5.35,231329260,11400,36956,Financeiro e Outros,Intermediários Financeiros,Bancos
45,BEES4,6.06,0.0577,0.0346,0.0,0.0,0.0,21770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.11,1.09,0.0,1764020000.0,0.1191,0.0,-0.99,6.06,0.67,6.06,6.0,6.38,5.0,5.95,1753459187,Banestes SA Banco do Estado Esprt Santo Preference Shares,9.02,6.06,84583600,900,3503,Financeiro e Outros,Intermediários Financeiros,Bancos
46,BGIP3,36.46,0.0922,0.0272,0.0,0.0,0.0,16203.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.05,1.09,0.0,509054000.0,0.121,0.0,-1.62,36.46,4.03,39.98,35.87,52.0,24.0,35.87,465041981,Banco do Estado de Sergipe SA,8.9,39.98,7642545,500,546,Financeiro e Outros,Intermediários Financeiros,Bancos
47,BGIP4,25.39,0.0922,0.0429,0.0,0.0,0.0,23206.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.76,0.0,509054000.0,0.121,0.0,0.0,25.39,4.03,25.39,25.39,34.49,21.41,24.98,465041981,Banco do Estado de Sergipe SA Preference Shares,6.3,25.02,7642545,3400,1160,Financeiro e Outros,Intermediários Financeiros,Bancos
48,BIDI11,69.16,0.3091,0.0006,0.0,0.0,0.0,333529000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3013.17,16.32,0.0,3240140000.0,0.0054,0.0,1.21,69.16,0.01,71.49,70.0,78.54,11.01,68.03,53442324785,Banco Inter SA Brazilian Units,9577.29,68.32,0,1235200,4171696,Financeiro e Outros,Intermediários Financeiros,Bancos
49,BIDI3,22.7,0.3091,0.0007,0.0,0.0,0.0,22667400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2966.98,16.07,0.0,3240140000.0,0.0054,0.0,1.37,22.7,0.01,23.48,23.01,25.76,3.51,22.2,53442324785,Banco Inter SA,3146.38,22.48,1150356087,416100,974700,Financeiro e Outros,Intermediários Financeiros,Bancos
50,BIDI4,23.26,0.3091,0.0006,0.0,0.0,0.0,174926000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3040.18,16.46,0.0,3240140000.0,0.0054,0.0,1.63,23.26,0.01,24.23,23.64,26.59,3.81,23.0,53442324785,Banco Inter SA Preference Shares,3239.4,23.0,1142977848,3671700,6946296,Financeiro e Outros,Intermediários Financeiros,Bancos
51,BIOM3,15.86,6.4825,0.0,1.08,-21.2,-21.25,186493.0,3.56,-0.874,-1.1213,-12.86,2.551,9.04,-19.49,-15.19,6.24,17.036,172231000.0,-0.4104,-0.1768,-0.13,15.86,-1.09,15.84,15.84,19.5,14.4,15.71,1072625568,Biomm SA,0.0,15.81,67716252,1400,13006,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos
52,BKBR3,12.14,0.0544,0.0,0.49,-8.04,-35.06,27469600.0,1.8,-0.2055,-0.2567,-2.96,0.909,8.62,-7.56,-6.05,1.99,1.554,1678940000.0,-0.329,-0.1513,0.82,12.14,-2.27,12.24,12.24,12.9,8.22,11.92,3375857267,BK Brasil Operacao e Assessr  Rstrnts SA,0.0,12.14,275355447,745000,2179026,Consumo Cíclico,Hoteis e Restaurantes,Restaurante e Similares
53,BMEB3,20.15,0.1209,0.0385,0.0,0.0,0.0,8991.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,1.02,0.0,1038950000.0,0.1495,0.0,-0.05,20.15,2.96,20.14,20.14,25.0,10.21,20.14,1045739661,Banco Mercantil do Brasil SA,6.8,20.14,32577872,600,550,Financeiro e Outros,Intermediários Financeiros,Bancos
54,BMEB4,19.65,0.1209,0.0434,0.0,0.0,0.0,120059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63,0.99,0.0,1038950000.0,0.1495,0.0,1.22,19.65,2.96,19.9,19.89,20.29,12.52,19.25,1045739661,Banco Mercantil do Brasil SA Preference Shares,6.71,19.26,19837918,2300,7580,Financeiro e Outros,Intermediários Financeiros,Bancos
55,BMGB4,4.93,0.0,0.0367,0.0,0.0,0.0,9199490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.47,0.71,0.0,4043590000.0,0.084,0.0,-1.62,4.93,0.69,4.92,4.85,6.27,4.18,4.82,888641232,Banco BMG Sa,7.01,4.92,183225057,659400,2169110,Financeiro e Outros,Intermediários Financeiros,Bancos
56,BMIN3,22.31,-0.2392,0.0,0.0,0.0,0.0,24603.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.36,0.86,0.0,125015000.0,0.0168,0.0,0.0,22.31,0.43,22.31,22.31,37.0,17.8,22.31,106655986,Banco Mercantil de Investimentos SA,51.36,22.31,4115057,400,1153,Financeiro e Outros,Intermediários Financeiros,Bancos
57,BMIN4,20.91,-0.2392,0.067,0.0,0.0,0.0,24156.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.13,0.81,0.0,125015000.0,0.0168,0.0,-0.05,20.91,0.43,20.9,20.9,31.5,18.0,20.9,106655986,Banco Mercantil de Investimentos SA Preference Shares,48.11,20.9,710143,100,1380,Financeiro e Outros,Intermediários Financeiros,Bancos
58,BMKS3,240.0,0.0617,0.033,0.02,17.17,151.03,26441.5,31.35,-0.0912,0.1453,0.78,0.516,0.68,-53.24,33.41,0.58,4.853,187458000.0,0.0174,-0.0334,-0.84,240.0,7.18,240.0,237.99,297.0,180.0,230.0,108225954,Bicicletas Monark SA,33.13,240.0,454750,270,92,Consumo Cíclico,Viagens e Lazer,Bicicletas
59,BMOB3,21.05,0.0,0.0,0.0,11.08,8.16,24083400.0,2.62,0.3412,0.2022,2.42,1.249,2.42,28.57,48.2,1.84,9.747,1041940000.0,0.0381,0.2031,1.9,21.05,0.48,21.74,21.45,28.5,17.46,21.2,3899998383,Bemobi Mobile Tech SA,44.39,21.2,90909092,346200,1325950,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
60,BNBR3,67.06,0.189,0.042,0.0,0.0,0.0,16425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.42,0.89,0.0,6534870000.0,0.1634,0.0,0.0,67.06,12.37,0.0,67.06,93.0,60.1,0.0,5792070000,Banco do Nordeste do Brasil S.A.,5.42,0.0,86371464,0,273,Financeiro e Outros,Intermediários Financeiros,Bancos
61,BOAS3,11.31,-0.0617,0.0018,0.08,43.52,17.66,14169300.0,7.46,0.1759,0.071,7.15,2.465,4.78,53.85,133.35,3.29,9.47,1815350000.0,0.0247,0.1024,-0.88,11.31,0.08,11.44,11.21,15.05,9.2,11.15,5925110538,Boa Vista Servicos SA,143.42,11.31,528555860,82100,1091396,Financeiro e Outros,Serviços Financeiros Diversos,Serviços Financeiros Diversos
62,BOBR4,2.7,0.008,0.0,-1.08,13.57,10.35,881976.0,0.53,0.0653,-0.0116,-1.05,1.086,-3.12,9.67,-54.37,-2.59,0.632,-271457000.0,0.0477,0.1474,-1.48,2.7,-0.17,2.71,2.66,3.43,1.72,2.65,690350729,Bombril SA Preference Shares,0.0,2.71,122894462,148400,412566,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Limpeza
63,BPAC11,122.98,-0.0117,0.0096,0.0,0.0,0.0,476778000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.58,3.77,0.0,30414300000.0,0.1598,0.0,-2.39,122.98,1.62,122.94,120.04,125.79,69.27,119.72,152701684764,Banco BTG Pactual SA Brazilian Units,74.25,122.94,0,1449000,4102060,Financeiro e Outros,Intermediários Financeiros,Bancos
64,BPAC3,75.4,-0.0117,0.0052,0.0,0.0,0.0,670732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.37,6.93,0.0,30414300000.0,0.1598,0.0,0.15,75.4,1.62,75.59,75.51,87.0,30.05,74.49,152727122294,Banco BTG Pactual SA,46.63,74.5,1784211500,5900,11180,Financeiro e Outros,Intermediários Financeiros,Bancos
65,BPAC5,28.22,-0.0117,0.0139,0.0,0.0,0.0,369428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.23,2.59,0.0,30414300000.0,0.1598,0.0,0.89,28.22,1.62,28.47,28.47,37.5,16.2,27.7,152727122294,Banco BTG Pactual SA Preference Shares Class A,17.58,28.1,662472466,1500,15870,Financeiro e Outros,Intermediários Financeiros,Bancos
66,BPAN4,23.92,0.1298,0.0088,0.0,0.0,0.0,141058000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.69,5.3,0.0,5434150000.0,0.1243,0.0,2.38,23.92,0.56,24.72,24.49,26.3,7.24,23.37,13408162220,Banco Pan SA,43.42,23.79,547495486,2552200,6503740,Financeiro e Outros,Intermediários Financeiros,Bancos
67,BRAP3,57.78,0.0,0.0857,0.0,-924.98,-924.98,2444390.0,1.09,0.0,0.0,204.42,1.504,189.33,-985.85,6.46,1.65,0.0,12164200000.0,0.256,-0.0017,1.77,57.78,8.95,58.8,58.8,68.99,31.6,58.02,22672322215,Bradespar SA,6.56,58.16,122171449,10400,38666,Materiais Básicos,Mineração,Minerais Metálicos
